id,new_date,y0,y1,y2,y3
raydium,2025-02-28,,2.2367244958877563,0.2954865097999573,
raydium,2025-03-01,,1.252878189086914,0.2947317659854889,
raydium,2025-03-02,,1.1999828815460205,0.3142385184764862,
raydium,2025-03-03,,1.2056596279144287,0.29900500178337097,
raydium,2025-03-04,,1.1691335439682007,0.2940051257610321,
raydium,2025-03-05,,1.1639807224273682,0.28288060426712036,
raydium,2025-03-06,,1.1925361156463623,0.26791128516197205,
raydium,2025-03-07,,1.3896715641021729,0.2585531771183014,
raydium,2025-03-08,,1.4288643598556519,0.24648873507976532,
raydium,2025-03-09,,1.3745074272155762,0.26231271028518677,
raydium,2025-03-10,,1.3453893661499023,0.2530079782009125,
raydium,2025-03-11,,1.3272979259490967,0.2423330843448639,
raydium,2025-03-12,,1.3509221076965332,0.24133065342903137,
raydium,2025-03-13,,1.3680243492126465,0.25985461473464966,
raydium,2025-03-14,,1.4201911687850952,0.2658750116825104,
raydium,2025-03-15,,1.5845236778259277,0.25869229435920715,
raydium,2025-03-16,,2.181509256362915,0.24747446179389954,
raydium,2025-03-17,,2.3627467155456543,0.25027716159820557,
raydium,2025-03-18,,2.747596263885498,0.2644738256931305,
raydium,2025-03-19,,2.3415584564208984,0.2638343870639801,
raydium,2025-03-20,,2.096757173538208,0.26221156120300293,
raydium,2025-03-21,,2.273259401321411,0.25499609112739563,
raydium,2025-03-22,,2.0282702445983887,0.24952048063278198,
raydium,2025-03-23,,2.0126399993896484,0.2445380538702011,
raydium,2025-03-24,,1.9492570161819458,0.241898775100708,
raydium,2025-03-25,,2.211540699005127,0.2398981899023056,
raydium,2025-03-26,,2.204932689666748,0.24826151132583618,
raydium,2025-03-27,,2.041104793548584,0.23825910687446594,
raydium,2025-03-28,,2.009517192840576,0.22991110384464264,
raydium,2025-03-29,,1.9534324407577515,0.2359791100025177,
raydium,2025-03-30,,2.2036020755767822,0.23326274752616882,
raydium,2025-03-31,,2.2221200466156006,0.23417390882968903,
raydium,2025-04-01,,2.3149240016937256,0.23580527305603027,
